fecha_estreno;título;director;género;duración;presupuesto;recaudación;reparto
19/12/2019;Star Wars: The Rise of Skywalker;J.J. Abrams;Acción, Aventura, Fantasía;142;275;1074;Daisy Ridley, Adam Driver, John Boyega
23/05/2019;Joker;Todd Phillips;Drama;122;55;980;Joaquin Phoenix, Robert De Niro, Zazie Beetz
22/11/2019;Frozen II;Chris Buck;Animación, Aventura, Comedia;103;150;1450;Idina Menzel, Kristen Bell, Jonathan Groff
14/02/2020;Parasite;Bong Joon-ho;Drama, Thriller;132;11;254;Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong
09/11/2018;Bohemian Rhapsody;Bryan Singer;Drama, Musical;134;52;903;Rami Malek, Lucy Boynton, Gwilym Lee
02/05/2019;Avengers: Endgame;Anthony Russo;Acción, Aventura, Fantasía;181;356;2798;Robert Downey Jr., Chris Evans, Mark Ruffalo
14/12/2018;Spider-Man: Into the Spider-Verse;Bob Persichetti;Animación, Acción, Aventura;117;90;375;Shameik Moore, Jake Johnson, Hailee Steinfeld
09/11/2017;Justice League;Zack Snyder;Acción, Aventura, Fantasía;121;300;657;Ben Affleck, Gal Gadot, Jason Momoa
03/11/2016;Doctor Strange;Scott Derrickson;Acción, Aventura, Fantasía;115;165;678;Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams
24/07/2015;Ant-Man;Peyton Reed;Acción, Aventura, Comedia;117;130;519;Paul Rudd, Michael Douglas, Evangeline Lilly
19/12/2014;The Hobbit: The Battle of the Five Armies;Peter Jackson;Acción, Aventura, Fantasía;144;250;956;Martin Freeman, Ian McKellen, Richard Armitage
20/12/2013;The Wolf of Wall Street;Martin Scorsese;Drama, Comedia;180;100;392;Leonardo DiCaprio, Jonah Hill, Margot Robbie
22/11/2012;Skyfall;Sam Mendes;Acción, Aventura, Thriller;143;200;1108;Daniel Craig, Judi Dench, Javier Bardem
18/11/2011;The Twilight Saga: Breaking Dawn – Part 1;Bill Condon;Drama, Fantasía, Romance;117;110;709;Kristen Stewart, Robert Pattinson, Taylor Lautner
09/07/2010;Inception;Christopher Nolan;Acción, Aventura, Thriller;148;160;829;Leonardo DiCaprio, Ken Watanabe, Joseph Gordon-Levitt
22/05/2009;Up;Pete Docter;Animación, Aventura, Comedia;96;175;731;Edward Asner, Jordan Nagai, John Ratzenberger
25/12/2008;The Dark Knight;Christopher Nolan;Acción, Aventura, Crimen;152;185;1004;Christian Bale, Heath Ledger, Aaron Eckhart
03/05/2008;Iron Man;Jon Favreau;Acción, Aventura, Ciencia ficción;126;140;585;Robert Downey Jr., Terrence Howard, Jeff Bridges
19/12/2007;I am Legend;Francis Lawrence;Drama, Ciencia ficción, Thriller;101;150;585;Will Smith, Alice Braga, Charlie Tahan
03/11/2006;The Prestige;Christopher Nolan;Drama, Misterio, Thriller;130;40;109;Hugh Jackman, Christian Bale, Michael Caine
18/11/2005;Harry Potter and the Goblet of Fire;Mike Newell;Aventura, Fantasía;157;150;897;Daniel Radcliffe, Emma Watson, Rupert Grint
21/05/2004;Shrek 2;Andrew Adamson;Animación, Aventura, Comedia;93;150;919;Mike Myers, Eddie Murphy, Cameron Diaz
25/12/2003;The Lord of the Rings: The Return of the King;Peter Jackson;Aventura, Fantasía;201;94;1142;Elijah Wood, Ian McKellen, Viggo Mortensen
14/11/2002;The Bourne Identity;Doug Liman;Acción, Aventura, Thriller;119;60;214;Matt Damon, Franka Potente, Chris Cooper
18/07/2001;Jurassic Park III;Joe Johnston;Acción, Aventura, Ciencia ficción;92;93;361;Sam Neill, William H. Macy, Téa Leoni
15/12/2017;Star Wars: The Last Jedi;Rian Johnson;Acción, Aventura, Fantasía;152;200;1333;Mark Hamill, Carrie Fisher, Adam Driver
14/08/2015;Furious 7;James Wan;Acción, Aventura, Crimen;137;190;1516;Vin Diesel, Paul Walker, Dwayne Johnson
07/11/2014;Interstellar;Christopher Nolan;Drama, Aventura, Ciencia ficción;169;165;677;Matthew McConaughey, Anne Hathaway, Jessica Chastain
12/07/2013;Despicable Me 2;Pierre Coffin;Animación, Comedia, Familia;98;76;970;Steve Carell, Kristen Wiig, Benjamin Bratt
08/07/2012;The Dark Knight Rises;Christopher Nolan;Acción, Aventura, Crimen;164;250;1081;Christian Bale, Tom Hardy, Anne Hathaway
27/05/2011;Pirates of the Caribbean: On Stranger Tides;Rob Marshall;Aventura, Fantasía;136;410;1045;Johnny Depp, Penélope Cruz, Ian McShane
24/06/2010;Toy Story 3;Lee Unkrich;Animación, Aventura, Comedia;103;200;1063;Tom Hanks, Tim Allen, Joan Cusack
19/05/2010;Iron Man 2;Jon Favreau;Acción, Aventura, Ciencia ficción;124;200;623;Robert Downey Jr., Gwyneth Paltrow, Don Cheadle
18/12/2009;Avatar;James Cameron;Acción, Aventura, Fantasía;162;237;2789;Sam Worthington, Zoe Saldana, Sigourney Weaver
28/11/2008;Twilight;Catherine Hardwicke;Drama, Fantasía, Romance;122;37;392;Kristen Stewart, Robert Pattinson, Billy Burke
02/05/2002;Spider-Man;Sam Raimi;Acción, Aventura, Fantasía;121;139;820;Tobey Maguire, Willem Dafoe, Kirsten Dunst